base_url,url
http://www.biorxiv.org,http://www.biorxiv.org/submit-a-manuscript
http://www.biorxiv.org,http://www.biorxiv.org/archive
http://www.biorxiv.org,http://www.biorxiv.org/collection/biophysics
http://www.biorxiv.org,http://www.biorxiv.org/collection/biochemistry
http://www.biorxiv.org,http://www.biorxiv.org/collection/immunology
http://www.biorxiv.org,http://www.biorxiv.org/collection/genomics
http://www.biorxiv.org,http://www.biorxiv.org/content/alertsrss
http://www.biorxiv.org,http://www.biorxiv.org/collection/synthetic-biology
http://www.biorxiv.org,http://www.biorxiv.org/collection/paleontology
http://www.biorxiv.org,http://www.biorxiv.org/collection/cancer-biology
http://www.biorxiv.org,http://www.biorxiv.org/collection/clinical-trials
http://www.biorxiv.org,http://www.biorxiv.org/collection/microbiology
http://www.biorxiv.org,http://www.biorxiv.org/collection/systems-biology
http://www.biorxiv.org,http://www.biorxiv.org/search
http://www.biorxiv.org,http://www.cshl.edu
http://www.biorxiv.org,http://www.biorxiv.org/collection/bioengineering
http://www.biorxiv.org,http://www.biorxiv.org/about-biorxiv
http://www.biorxiv.org,http://www.biorxiv.org/collection/zoology
http://www.biorxiv.org,http://www.biorxiv.org/collection/molecular-biology
http://www.biorxiv.org,#main-content
http://www.biorxiv.org,http://www.biorxiv.org/collection/ecology
http://www.biorxiv.org,http://www.biorxiv.org/collection/physiology
http://www.biorxiv.org,http://www.biorxiv.org/collection/epidemiology
http://www.biorxiv.org,http://www.biorxiv.org/collection/plant-biology
http://www.biorxiv.org,http://www.biorxiv.org/collection/animal-behavior-and-cognition
http://www.biorxiv.org,http://www.biorxiv.org/collection/bioinformatics
http://www.biorxiv.org,http://www.biorxiv.org/content/early/recent
http://www.biorxiv.org,http://www.biorxiv.org/collection/cell-biology
http://www.biorxiv.org,http://www.biorxiv.org/collection/pathology
http://www.biorxiv.org,http://www.biorxiv.org/collection/genetics
http://www.biorxiv.org,http://www.biorxiv.org/collection/neuroscience
http://www.biorxiv.org,http://www.biorxiv.org/collection/evolutionary-biology
http://www.biorxiv.org,http://www.biorxiv.org/collection/pharmacology-and-toxicology
http://www.biorxiv.org,http://www.biorxiv.org/collection/developmental-biology
http://www.biorxiv.org,http://www.biorxiv.org/
http://www.biorxiv.org,http://www.biorxiv.org/collection/scientific-communication-and-education
