base_url,url
http://www.genexies.net,"javascript:$.scrollTo('6%', 800 )"
http://www.genexies.net,"javascript:$.scrollTo('2520px', 800 )"
http://www.genexies.net,"javascript:$.scrollTo('29%', 800 )"
http://www.genexies.net,#tabs-2
http://www.genexies.net,#tabs-3
http://www.genexies.net,#_
http://www.genexies.net,"javascript:$.scrollTo('72%', 800 )"
http://www.genexies.net,"javascript:$.scrollTo('1850px', 800 )"
http://www.genexies.net,#tabs-1
http://www.genexies.net,"javascript:$.scrollTo('0px', 800 )"
http://www.genexies.net,#tabs-5
http://www.genexies.net,"javascript:$.scrollTo('36%', 800 )"
http://www.genexies.net,#tabs-4
http://www.genexies.net,"javascript:$.scrollTo('485px', 800 )"
