base_url,url
http://www.kfc.com.cn,http://about.imtranslator.net/tutorials/presentations/imtranslator-translator-for-firefox/popup-bubble-application/
http://www.kfc.com.cn,http://www.yum.com.cn/
http://www.kfc.com.cn,#
http://www.kfc.com.cn,http://www.4008823823.com.cn/kfcios/Html/index.html
http://www.kfc.com.cn,http://res.kfc.com.cn/KFCBrandAPPV2.00.apk
http://www.kfc.com.cn,###
http://www.kfc.com.cn,http://www.kfc.com.cn/kfccda/privacy.html
http://www.kfc.com.cn,http://www.kfc.com.cn/kfccda/index.aspx
http://www.kfc.com.cn,http://www.4008123123.com/
http://www.kfc.com.cn,http://www.littlesheep.com/
http://www.kfc.com.cn,http://www.kfc.com.cn/kfccda/copyright.html
http://www.kfc.com.cn,http://www.miitbeian.gov.cn
http://www.kfc.com.cn,http://www.kfc.com.cn/kfccda/about.html
http://www.kfc.com.cn,http://www.kfc.com.cn/kfccda/news.aspx
http://www.kfc.com.cn,http://www.pizzahut.com.cn/phdi/homepage/
http://www.kfc.com.cn,http://www.dfjb.com.cn/
http://www.kfc.com.cn,https://itunes.apple.com/cn/app/ken-de-ji/id587238847?mt=8%EF%BC%89
http://www.kfc.com.cn,http://www.kfc.com.cn/kfccda/download.aspx
