base_url,url
http://www.redalyc.org,http://marcalyc.redalyc.org/
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/reconocimientos.html
http://www.redalyc.org,https://www.openarchives.org/
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/directorio.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/noticias.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/mision.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/buscador.html
http://www.redalyc.org,autorHome.oa
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/oai-pmh.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/openacces.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/editores/criterios.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/editores/presentacion.html
http://www.redalyc.org,IndicadoresHome.oa
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/productos.html
http://www.redalyc.org,https://youtu.be/SWex1MGmwzQ
http://www.redalyc.org,http://www.uaemex.mx
http://www.redalyc.org,coleccionHome.oa
http://www.redalyc.org,home.oa
http://www.redalyc.org,nvnums.oa
http://www.redalyc.org,http://www.redalyc.org/redalyc/editores/guia.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/usolegal.html
http://www.redalyc.org,http://www.redalyc.org/redalyc/media/redalyc_n/Estaticas3/comite.html
