base_url,url
http://www.smartbmicalculator.com,disclaimer.html
http://www.smartbmicalculator.com,result.html?unit=1&hf=5&hi=3&wl=214&us=1&ua=60&dp=1
http://www.smartbmicalculator.com,weight-loss.html
http://www.smartbmicalculator.com,faq.html
http://www.smartbmicalculator.com,impressum.html
http://www.smartbmicalculator.com,../
http://www.smartbmicalculator.com,privacy.html
http://www.smartbmicalculator.com,bmi.html
http://www.smartbmicalculator.com,fat-free-mass.html
http://www.smartbmicalculator.com,bmi-and-age.html
http://www.smartbmicalculator.com,body-fat.html
