base_url,url
http://www.veganessentials.com,"javascript:WebForm_DoPostBackWithOptions(new WebForm_PostBackOptions(""ctl00$ctl00$ctl00$cphMain$ctl00$ptShippingPolicy$hdrTitle$lbCloseX"", """", true, """", """", false, true))"
http://www.veganessentials.com,"javascript:__doPostBack('ctl00$ctl00$ctl00$cphMain$cphMain$cphMain$lvTileProducts$ctrl14$ctl02$tpTileProduct$niProduct15$lbNotifyInstock','')"
http://www.veganessentials.com,https://store.veganessentials.com/edward--sons-organic-instant-mashed-potatoes-p2474.aspx
http://www.veganessentials.com,"javascript:if (typeof Page_ClientValidate!=='function' || Page_ClientValidate('AddToCart5')) atcClicked(parseInt($get('ctl00_ctl00_ctl00_cphMain_cphMain_cphMain_lvTileProducts_ctrl4_ctl02_tpTileProduct_atcTop_hfFulfillmentMethod').value), 3528, '5');"
http://www.veganessentials.com,https://store.veganessentials.com/dandies-air-puffed-vegan-marshmallows-by-chicago-vegan-foods-p2607.aspx
http://www.veganessentials.com,"javascript:if (typeof Page_ClientValidate!=='function' || Page_ClientValidate('AddToCart6')) atcClicked(parseInt($get('ctl00_ctl00_ctl00_cphMain_cphMain_cphMain_lvTileProducts_ctrl6_ctl00_tpTileProduct_atcTop_hfFulfillmentMethod').value), 4110, '6');"
http://www.veganessentials.com,https://store.veganessentials.com/gluten--wheat-free-c107.aspx
http://www.veganessentials.com,https://store.veganessentials.com/companion-animal-products-c51.aspx
http://www.veganessentials.com,https://store.veganessentials.com/vegan-danish-kringle-by-larsen-bakery-p2552.aspx
http://www.veganessentials.com,https://store.veganessentials.com/bath-body-and-hair-care-products-c33.aspx
http://www.veganessentials.com,https://store.veganessentials.com/ricemellow-marshmallow-creme-p1248.aspx
http://www.veganessentials.com,https://store.veganessentials.com/babies-and-children-c66.aspx
http://www.veganessentials.com,javascript:nextViewPort.positionPopup($get('ctl00_ctl00_ctl00_cphMain_ctl00_ptPrivacyPolicy_pnlPopupPanel'));
http://www.veganessentials.com,https://store.veganessentials.com/login.aspx
http://www.veganessentials.com,https://store.veganessentials.com/soyatoo-whipped-soy-topping-can-p1733.aspx
http://www.veganessentials.com,"javascript:if (typeof Page_ClientValidate!=='function' || Page_ClientValidate('AddToCart20')) atcClicked(parseInt($get('ctl00_ctl00_ctl00_cphMain_cphMain_cphMain_lvTileProducts_ctrl20_ctl00_tpTileProduct_atcTop_hfFulfillmentMethod').value), 2156, '20');"
