base_url,url
http://www.whfoods.com,genpage.php?tname=george&dbid=369
http://www.whfoods.com,http://www.whfoods.com/menu7/menu7-lunch7.php
http://www.whfoods.com,genpage.php?tname=newtip&dbid=91
http://www.whfoods.com,genpage.php?tname=george&dbid=62
http://www.whfoods.com,recipestoc.php?#recipes
http://www.whfoods.com,genpage.php?tname=george&dbid=409
http://www.whfoods.com,genpage.php?tname=george&dbid=412
http://www.whfoods.com,http://www.whfoods.com/whatsnew.php
http://www.whfoods.com,genpage.php?tname=george&dbid=417
http://www.whfoods.com,genpage.php?tname=george&dbid=394
http://www.whfoods.com,readerstories.php
http://www.whfoods.com,foodstoc.php
http://www.whfoods.com,genpage.php?tname=george&dbid=373
http://www.whfoods.com,genpage.php?tname=george&dbid=428
http://www.whfoods.com,genpage.php?tname=george&dbid=381
http://www.whfoods.com,genpage.php?tname=george&dbid=383
http://www.whfoods.com,genpage.php?tname=george&dbid=360
http://www.whfoods.com,sendask.php
http://www.whfoods.com,genpage.php?tname=george&dbid=435
http://www.whfoods.com,http://www.whfoods.com/book2015/promoletter.html
http://www.whfoods.com,genpage.php?tname=george&dbid=368
http://www.whfoods.com,genpage.php?tname=george&dbid=374
http://www.whfoods.com,genpage.php?tname=george&dbid=367
http://www.whfoods.com,cookingwithgeorge.php
http://www.whfoods.com,genpage.php?tname=george&dbid=425
http://www.whfoods.com,genpage.php?tname=george&dbid=396
http://www.whfoods.com,genpage.php?tname=george&dbid=382
http://www.whfoods.com,genpage.php?tname=george&dbid=405
http://www.whfoods.com,genpage.php?tname=george&dbid=437
http://www.whfoods.com,bulletinsignup.php
http://www.whfoods.com,genpage.php?tname=newtip&dbid=59
http://www.whfoods.com,genpage.php?tname=george&dbid=404
http://www.whfoods.com,donations.php
http://www.whfoods.com,genpage.php?tname=george&dbid=415
http://www.whfoods.com,genpage.php?tname=george&dbid=431
http://www.whfoods.com,http://www.whfoods.com/rss/rss.xml
http://www.whfoods.com,genpage.php?tname=george&dbid=4393
http://www.whfoods.com,genpage.php?tname=george&dbid=439
http://www.whfoods.com,genpage.php?tname=george&dbid=380
http://www.whfoods.com,vga.php
http://www.whfoods.com,genpage.php?tname=george&dbid=371
http://www.whfoods.com,http://www.whfoods.com/recipestoc.php
http://www.whfoods.com,genpage.php?tname=george&dbid=363
http://www.whfoods.com,genpage.php?tname=faq&dbid=16
http://www.whfoods.com,genpage.php?tname=nutrient&dbid=111
http://www.whfoods.com,genpage.php?tname=george&dbid=432
http://www.whfoods.com,genpage.php?tname=george&dbid=433
http://www.whfoods.com,genpage.php?tname=biosketch&dbid=3
http://www.whfoods.com,genpage.php?tname=george&dbid=418
http://www.whfoods.com,genpage.php?tname=newtip&dbid=585
http://www.whfoods.com,http://www.whfoods.com/privdoc.php
http://www.whfoods.com,genpage.php?tname=george&dbid=410
http://www.whfoods.com,genpage.php?tname=george&dbid=365
http://www.whfoods.com,book2015/promoletter.html
http://www.whfoods.com,genpage.php?tname=george&dbid=378
http://www.whfoods.com,genpage.php?tname=george&dbid=370
http://www.whfoods.com,http://www.whfoods.com/getstarted.php
http://www.whfoods.com,genpage.php?tname=george&dbid=51
http://www.whfoods.com,genpage.php?tname=faq&dbid=51
http://www.whfoods.com,genpage.php?tname=george&dbid=429
http://www.whfoods.com,genpage.php?tname=foodspice&dbid=145
http://www.whfoods.com,genpage.php?tname=george&dbid=372
http://www.whfoods.com,genpage.php?tname=george&dbid=430
http://www.whfoods.com,genpage.php?tname=george&dbid=364
http://www.whfoods.com,genpage.php?tname=recipe&dbid=177
http://www.whfoods.com,genpage.php?tname=george&dbid=414
http://www.whfoods.com,genpage.php?tname=george&dbid=385
http://www.whfoods.com,genpage.php?tname=newtip&dbid=111
http://www.whfoods.com,genpage.php?tname=george&dbid=440
http://www.whfoods.com,mateljanview.php
http://www.whfoods.com,#
http://www.whfoods.com,genpage.php?tname=george&dbid=48
http://www.whfoods.com,genpage.php?tname=george&dbid=366
http://www.whfoods.com,http://www.whfoods.com/index.php
http://www.whfoods.com,genpage.php?tname=george&dbid=377
http://www.whfoods.com,menu7/menu7-lunch7.php
http://www.whfoods.com,genpage.php?tname=george&dbid=413
http://www.whfoods.com,genpage.php?tname=george&dbid=250
http://www.whfoods.com,genpage.php?tname=faq&dbid=46
http://www.whfoods.com,http://www.whfoods.com/whoweare.php
http://www.whfoods.com,genpage.php?tname=george&dbid=384
http://www.whfoods.com,nutrientstoc.php
http://www.whfoods.com,genpage.php?tname=george&dbid=56
http://www.whfoods.com,genpage.php?tname=george&dbid=422
http://www.whfoods.com,genpage.php?tname=george&dbid=411
