	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
0	1	happycow.net	Food and Drink	=	00:03:16	4.12	0.5226	Vegetarian and Vegan
1	2	irrawaddy.com	Food and Drink	1	00:04:04	2.94	0.5163	Vegetarian and Vegan
2	3	veganricha.com	Food and Drink	-1	00:02:46	2.0	0.6740999999999999	Vegetarian and Vegan
3	4	froh.de	Food and Drink	new	00:01:54	1.63	0.7693000000000001	Vegetarian and Vegan
4	5	veggieboards.com	Food and Drink	-1	00:00:47	3.11	0.3267	Vegetarian and Vegan
5	6	rawdd.com	Food and Drink	1	00:01:43	1.93	0.7067	Vegetarian and Vegan
6	7	stadionowioprawcy.net	Food and Drink	-1	00:02:25	2.55	0.5368999999999999	Vegetarian and Vegan
7	8	vegansociety.com	Food and Drink	-3	00:01:29	1.89	0.6523	Vegetarian and Vegan
8	9	vebu.de	Food and Drink	6	00:01:39	2.32	0.6263000000000001	Vegetarian and Vegan
9	10	chooseveg.com	Food and Drink	1	00:00:44	1.42	0.7589	Vegetarian and Vegan
10	11	farmfreshtoyou.com	Food and Drink	2	00:08:06	4.41	0.3455	Vegetarian and Vegan
11	12	se.com.br	Food and Drink	2	00:01:32	1.67	0.7409	Vegetarian and Vegan
12	13	holycowvegan.net	Food and Drink	18	00:03:25	2.07	0.7245999999999999	Vegetarian and Vegan
13	14	vegnews.com	Food and Drink	-5	00:01:04	1.33	0.8190000000000001	Vegetarian and Vegan
14	15	msrawytop.com	Food and Drink	34	00:00:36	1.82	0.787	Vegetarian and Vegan
15	16	vegetarisch.de	Food and Drink	4	00:03:21	5.88	0.2975	Vegetarian and Vegan
16	17	veganuary.com	Food and Drink	12	00:02:46	2.14	0.6257	Vegetarian and Vegan
17	18	vegan.com	Food and Drink	-8	00:00:21	1.28	0.7363	Vegetarian and Vegan
18	19	ilovevegan.com	Food and Drink	=	00:00:37	1.35	0.727	Vegetarian and Vegan
19	20	vegetarian.ru	Food and Drink	3	00:01:06	1.76	0.7287	Vegetarian and Vegan
20	21	vegancoach.com	Food and Drink	51	00:01:21	1.39	0.6441	Vegetarian and Vegan
21	22	gesund.de	Food and Drink	4	00:00:33	1.29	0.8420000000000001	Vegetarian and Vegan
22	23	theflamingvegan.com	Food and Drink	-5	00:00:18	1.41	0.8549	Vegetarian and Vegan
23	24	suiis.com	Food and Drink	-8	00:02:03	2.37	0.7597	Vegetarian and Vegan
24	25	biserawalpindi.edu.pk	Food and Drink	-1	00:05:02	5.16	0.2788	Vegetarian and Vegan
25	26	vegetarianismo.net	Food and Drink	1	00:02:20	1.86	0.6255	Vegetarian and Vegan
26	27	brandnewvegan.com	Food and Drink	-10	00:01:46	1.51	0.7995	Vegetarian and Vegan
27	28	vegweb.com	Food and Drink	-16	00:02:30	1.42	0.8440000000000001	Vegetarian and Vegan
28	29	veganessentials.com	Food and Drink	-7	00:01:27	3.06	0.5797	Vegetarian and Vegan
30	31	cntvan.com	Food and Drink	new	00:00:00	1.01	0.9976999999999999	Vegetarian and Vegan
31	32	veggiecommunity.org	Food and Drink	-24	00:02:44	4.08	0.1918	Vegetarian and Vegan
32	33	vrg.org	Food and Drink	-5	00:00:21	1.17	0.9077	Vegetarian and Vegan
33	34	followyourheart.com	Food and Drink	1	00:00:42	2.29	0.7959	Vegetarian and Vegan
34	35	mania.com	Food and Drink	2	00:04:21	4.43	0.509	Vegetarian and Vegan
35	36	veganbodybuilding.com	Food and Drink	19	00:00:12	1.16	0.9472	Vegetarian and Vegan
36	37	raws.org	Food and Drink	3	00:01:38	2.05	0.6136	Vegetarian and Vegan
37	38	sunwarrior.com	Food and Drink	-17	00:01:08	1.52	0.7468	Vegetarian and Vegan
38	39	cantinhovegetariano.com.br	Food and Drink	14	00:01:22	1.74	0.6431999999999999	Vegetarian and Vegan
39	40	veganfoodlover.com	Food and Drink	-6	00:00:15	1.64	0.7729	Vegetarian and Vegan
40	41	veganstart.de	Food and Drink	new	00:00:01	1.01	0.9940000000000001	Vegetarian and Vegan
41	42	rawan.net	Food and Drink	new	00:11:32	6.3	0.14980000000000002	Vegetarian and Vegan
42	43	job.lzu.edu.cn	Food and Drink	new	00:00:55	3.69	0.024399999999999998	Vegetarian and Vegan
43	44	deutschlandistvegan.de	Food and Drink	17	00:01:19	1.28	0.7609999999999999	Vegetarian and Vegan
44	45	vegancuts.com	Food and Drink	-1	00:01:55	2.98	0.2833	Vegetarian and Vegan
45	46	vegsoc.org	Food and Drink	-16	00:02:25	2.36	0.8017	Vegetarian and Vegan
46	47	veganguerilla.de	Food and Drink	7	00:00:56	2.63	0.6305	Vegetarian and Vegan
47	48	vegpool.de	Food and Drink	-6	00:01:39	1.56	0.7115	Vegetarian and Vegan
