 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, happycow.net website analytics happycow.net ,Food and Drink > Vegetarian and Vegan,=,00:03:16,4.12,52.26%
2, irrawaddy.com website analytics irrawaddy.com ,Food and Drink > Vegetarian and Vegan,1,00:04:04,2.94,51.63%
3, veganricha.com website analytics veganricha.com ,Food and Drink > Vegetarian and Vegan,-1,00:02:46,2,67.41%
4, bewusst-vegan-froh.de website analytics bewusst-vegan-froh.de ,Food and Drink > Vegetarian and Vegan,new,00:01:54,1.63,76.93%
5, veggieboards.com website analytics veggieboards.com ,Food and Drink > Vegetarian and Vegan,-1,00:00:47,3.11,32.67%
6, rawdd.com website analytics rawdd.com ,Food and Drink > Vegetarian and Vegan,1,00:01:43,1.93,70.67%
7, stadionowioprawcy.net website analytics stadionowioprawcy.net ,Food and Drink > Vegetarian and Vegan,-1,00:02:25,2.55,53.69%
8, vegansociety.com website analytics vegansociety.com ,Food and Drink > Vegetarian and Vegan,-3,00:01:29,1.89,65.23%
9, vebu.de website analytics vebu.de ,Food and Drink > Vegetarian and Vegan,6,00:01:39,2.32,62.63%
10, chooseveg.com website analytics chooseveg.com ,Food and Drink > Vegetarian and Vegan,1,00:00:44,1.42,75.89%
11, farmfreshtoyou.com website analytics farmfreshtoyou.com ,Food and Drink > Vegetarian and Vegan,2,00:08:06,4.41,34.55%
12, vista-se.com.br website analytics vista-se.com.br ,Food and Drink > Vegetarian and Vegan,2,00:01:32,1.67,74.09%
13, holycowvegan.net website analytics holycowvegan.net ,Food and Drink > Vegetarian and Vegan,18,00:03:25,2.07,72.46%
14, vegnews.com website analytics vegnews.com ,Food and Drink > Vegetarian and Vegan,-5,00:01:04,1.33,81.90%
15, msrawytop.com website analytics msrawytop.com ,Food and Drink > Vegetarian and Vegan,34,00:00:36,1.82,78.70%
16, alles-vegetarisch.de website analytics alles-vegetarisch.de ,Food and Drink > Vegetarian and Vegan,4,00:03:21,5.88,29.75%
17, veganuary.com website analytics veganuary.com ,Food and Drink > Vegetarian and Vegan,12,00:02:46,2.14,62.57%
18, vegan.com website analytics vegan.com ,Food and Drink > Vegetarian and Vegan,-8,00:00:21,1.28,73.63%
19, ilovevegan.com website analytics ilovevegan.com ,Food and Drink > Vegetarian and Vegan,=,00:00:37,1.35,72.70%
20, vegetarian.ru website analytics vegetarian.ru ,Food and Drink > Vegetarian and Vegan,3,00:01:06,1.76,72.87%
21, vegancoach.com website analytics vegancoach.com ,Food and Drink > Vegetarian and Vegan,51,00:01:21,1.39,64.41%
22, wir-essen-gesund.de website analytics wir-essen-gesund.de ,Food and Drink > Vegetarian and Vegan,4,00:00:33,1.29,84.20%
23, theflamingvegan.com website analytics theflamingvegan.com ,Food and Drink > Vegetarian and Vegan,-5,00:00:18,1.41,85.49%
24, suiis.com website analytics suiis.com ,Food and Drink > Vegetarian and Vegan,-8,00:02:03,2.37,75.97%
25, biserawalpindi.edu.pk website analytics biserawalpindi.edu.pk ,Food and Drink > Vegetarian and Vegan,-1,00:05:02,5.16,27.88%
26, vegetarianismo.net website analytics vegetarianismo.net ,Food and Drink > Vegetarian and Vegan,1,00:02:20,1.86,62.55%
27, brandnewvegan.com website analytics brandnewvegan.com ,Food and Drink > Vegetarian and Vegan,-10,00:01:46,1.51,79.95%
28, vegweb.com website analytics vegweb.com ,Food and Drink > Vegetarian and Vegan,-16,00:02:30,1.42,84.40%
29, veganessentials.com website analytics veganessentials.com ,Food and Drink > Vegetarian and Vegan,-7,00:01:27,3.06,57.97%
30, nae-vegan.com website analytics nae-vegan.com ,Food and Drink > Vegetarian and Vegan,38,00:14:21,7.45,46.24%
31, cntvan.com website analytics cntvan.com ,Food and Drink > Vegetarian and Vegan,new,00:00:00,1.01,99.77%
32, veggiecommunity.org website analytics veggiecommunity.org ,Food and Drink > Vegetarian and Vegan,-24,00:02:44,4.08,19.18%
33, vrg.org website analytics vrg.org ,Food and Drink > Vegetarian and Vegan,-5,00:00:21,1.17,90.77%
34, followyourheart.com website analytics followyourheart.com ,Food and Drink > Vegetarian and Vegan,1,00:00:42,2.29,79.59%
35, vegan-mania.com website analytics vegan-mania.com ,Food and Drink > Vegetarian and Vegan,2,00:04:21,4.43,50.90%
36, veganbodybuilding.com website analytics veganbodybuilding.com ,Food and Drink > Vegetarian and Vegan,19,00:00:12,1.16,94.72%
37, beatrice-raws.org website analytics beatrice-raws.org ,Food and Drink > Vegetarian and Vegan,3,00:01:38,2.05,61.36%
38, sunwarrior.com website analytics sunwarrior.com ,Food and Drink > Vegetarian and Vegan,-17,00:01:08,1.52,74.68%
39, cantinhovegetariano.com.br website analytics cantinhovegetariano.com.br ,Food and Drink > Vegetarian and Vegan,14,00:01:22,1.74,64.32%
40, veganfoodlover.com website analytics veganfoodlover.com ,Food and Drink > Vegetarian and Vegan,-6,00:00:15,1.64,77.29%
41, veganstart.de website analytics veganstart.de ,Food and Drink > Vegetarian and Vegan,new,00:00:01,1.01,99.40%
42, rawan.net website analytics rawan.net ,Food and Drink > Vegetarian and Vegan,new,00:11:32,6.3,14.98%
