 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, lifescript.com website analytics lifescript.com ,Health > Nutrition,=,00:03:16,4.06,48.18%
2, vitacost.com website analytics vitacost.com ,Health > Nutrition,=,00:06:17,6.29,44.94%
3, gnc.com website analytics gnc.com ,Health > Nutrition,=,00:02:52,3.28,55.11%
4, nucific.com website analytics nucific.com ,Health > Nutrition,new,00:01:01,2.33,35.29%
5, vitaminshoppe.com website analytics vitaminshoppe.com ,Health > Nutrition,=,00:03:43,4.12,43.36%
6, dietdoctor.com website analytics dietdoctor.com ,Health > Nutrition,new,00:02:47,2.68,61.00%
7, calorizator.ru website analytics calorizator.ru ,Health > Nutrition,-3,00:01:53,1.82,68.90%
8, fourchette-et-bikini.fr website analytics fourchette-et-bikini.fr ,Health > Nutrition,-1,00:01:44,2.69,59.13%
9, fddb.info website analytics fddb.info ,Health > Nutrition,-3,00:02:28,5.34,59.47%
10, examine.com website analytics examine.com ,Health > Nutrition,=,00:01:40,2.07,70.29%
11, nutritionfacts.org website analytics nutritionfacts.org ,Health > Nutrition,=,00:02:55,2.11,60.63%
12, laguiadelasvitaminas.com website analytics laguiadelasvitaminas.com ,Health > Nutrition,-3,00:01:39,1.44,78.85%
13, cronometer.com website analytics cronometer.com ,Health > Nutrition,-5,00:03:23,2.24,65.11%
14, fabrykasily.pl website analytics fabrykasily.pl ,Health > Nutrition,-2,00:02:00,2.15,65.27%
15, atkins.com website analytics atkins.com ,Health > Nutrition,1,00:03:04,2.42,59.36%
16, nutritionix.com website analytics nutritionix.com ,Health > Nutrition,1,00:00:55,2.5,67.75%
17, marksdailyapple.com website analytics marksdailyapple.com ,Health > Nutrition,1,00:01:19,1.65,74.28%
18, davidwolfe.com website analytics davidwolfe.com ,Health > Nutrition,3,00:00:59,1.29,84.60%
19, lifeextension.com website analytics lifeextension.com ,Health > Nutrition,-5,00:02:14,2.61,60.08%
20, ketodietapp.com website analytics ketodietapp.com ,Health > Nutrition,3,00:02:25,2.07,75.46%
21, starbene.it website analytics starbene.it ,Health > Nutrition,-1,00:00:48,1.44,78.67%
22, dietascormillot.com website analytics dietascormillot.com ,Health > Nutrition,4,00:01:52,2.05,43.14%
23, steptohealth.com website analytics steptohealth.com ,Health > Nutrition,-8,00:01:45,2.61,49.73%
24, onnit.com website analytics onnit.com ,Health > Nutrition,1,00:02:17,2.3,63.77%
25, smartbmicalculator.com website analytics smartbmicalculator.com ,Health > Nutrition,-1,00:02:21,3.07,30.76%
26, eiyoukeisan.com website analytics eiyoukeisan.com ,Health > Nutrition,-4,00:01:31,1.62,74.58%
27, whfoods.com website analytics whfoods.com ,Health > Nutrition,-8,00:01:23,1.57,70.27%
28, nutrition-optimale.com website analytics nutrition-optimale.com ,Health > Nutrition,new,00:01:41,1.26,81.63%
29, healthyfoodteam.com website analytics healthyfoodteam.com ,Health > Nutrition,23,00:01:17,1.17,85.59%
30, organicauthority.com website analytics organicauthority.com ,Health > Nutrition,-2,00:00:54,1.2,82.38%
31, myhealthtips.in website analytics myhealthtips.in ,Health > Nutrition,3,00:00:35,1.13,86.73%
32, nutrition.org website analytics nutrition.org ,Health > Nutrition,-5,00:02:03,2.12,45.38%
33, drjulianopimentel.com.br website analytics drjulianopimentel.com.br ,Health > Nutrition,new,00:01:02,1.29,82.27%
34, mev0.com website analytics mev0.com ,Health > Nutrition,new,00:04:44,4.24,45.80%
35, infoactusante.com website analytics infoactusante.com ,Health > Nutrition,new,00:00:37,1.59,53.47%
36, dietaeboasaude.com.br website analytics dietaeboasaude.com.br ,Health > Nutrition,-4,00:02:26,1.28,80.21%
37, ilfattoalimentare.it website analytics ilfattoalimentare.it ,Health > Nutrition,5,00:01:29,1.55,70.65%
38, lanutrition.fr website analytics lanutrition.fr ,Health > Nutrition,-3,00:01:57,2.42,68.39%
39, knowthecause.com website analytics knowthecause.com ,Health > Nutrition,new,00:11:42,15.82,24.18%
40, calorieking.com.au website analytics calorieking.com.au ,Health > Nutrition,24,00:03:21,6.88,18.33%
41, bmi-calculator.net website analytics bmi-calculator.net ,Health > Nutrition,-12,00:02:29,3.27,32.23%
42, optimumnutrition.com website analytics optimumnutrition.com ,Health > Nutrition,3,00:03:27,3.71,19.17%
43, emagrecerrapido.info website analytics emagrecerrapido.info ,Health > Nutrition,-10,00:00:59,1.37,81.03%
44, nutritienda.com website analytics nutritienda.com ,Health > Nutrition,10,00:04:39,5.08,62.82%
45, zumub.com website analytics zumub.com ,Health > Nutrition,new,00:02:05,4.35,37.51%
46, viveredonna.it website analytics viveredonna.it ,Health > Nutrition,1,00:02:30,2.31,71.17%
47, similac.com website analytics similac.com ,Health > Nutrition,-7,00:02:33,3.93,60.78%
48, 5lb.ru website analytics 5lb.ru ,Health > Nutrition,-4,00:04:03,4.71,45.07%
49, naturemade.com website analytics naturemade.com ,Health > Nutrition,7,00:01:04,2.32,34.35%
50, choosemyplate.gov website analytics choosemyplate.gov ,Health > Nutrition,-19,00:04:05,4.13,50.31%
