 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, news.yandex.ru website analytics news.yandex.ru ,News and Media > Newspapers,=,00:03:15,5.56,30.82%
2, nytimes.com website analytics nytimes.com ,News and Media > Newspapers,=,00:02:56,2.56,60.16%
3, dailymail.co.uk website analytics dailymail.co.uk ,News and Media > Newspapers,=,00:04:37,2.48,61.52%
4, theguardian.com website analytics theguardian.com ,News and Media > Newspapers,=,00:02:31,2.62,63.86%
5, washingtonpost.com website analytics washingtonpost.com ,News and Media > Newspapers,=,00:02:36,2.68,42.64%
6, rambler.ru website analytics rambler.ru ,News and Media > Newspapers,=,00:05:50,4.75,29.52%
7, milliyet.com.tr website analytics milliyet.com.tr ,News and Media > Newspapers,1,00:10:07,8.95,46.59%
8, indiatimes.com website analytics indiatimes.com ,News and Media > Newspapers,-1,00:07:12,5.43,52.48%
9, elpais.com website analytics elpais.com ,News and Media > Newspapers,1,00:07:15,3.41,55.84%
10, vnexpress.net website analytics vnexpress.net ,News and Media > Newspapers,-1,00:07:38,4.04,41.99%
11, repubblica.it website analytics repubblica.it ,News and Media > Newspapers,1,00:11:34,5.12,46.45%
12, bild.de website analytics bild.de ,News and Media > Newspapers,1,00:05:24,3.62,31.20%
13, telegraph.co.uk website analytics telegraph.co.uk ,News and Media > Newspapers,-2,00:02:12,2.84,70.60%
14, lemonde.fr website analytics lemonde.fr ,News and Media > Newspapers,=,00:15:21,3.88,49.86%
15, infobae.com website analytics infobae.com ,News and Media > Newspapers,=,00:15:51,4.08,53.36%
16, gazeta.pl website analytics gazeta.pl ,News and Media > Newspapers,=,00:04:41,3.91,48.90%
17, lanacion.com.ar website analytics lanacion.com.ar ,News and Media > Newspapers,=,00:14:03,4.26,57.22%
18, corriere.it website analytics corriere.it ,News and Media > Newspapers,=,00:07:27,3.53,48.50%
19, youm7.com website analytics youm7.com ,News and Media > Newspapers,1,00:03:38,2.72,49.48%
20, kompas.com website analytics kompas.com ,News and Media > Newspapers,-1,00:05:16,2.31,57.52%
21, nbcnews.com website analytics nbcnews.com ,News and Media > Newspapers,=,00:06:26,3.12,59.64%
22, welt.de website analytics welt.de ,News and Media > Newspapers,=,00:03:28,2.43,54.19%
23, cbsnews.com website analytics cbsnews.com ,News and Media > Newspapers,3,00:01:55,2.47,64.64%
24, folha.uol.com.br website analytics folha.uol.com.br ,News and Media > Newspapers,5,00:05:11,2.82,57.66%
25, latimes.com website analytics latimes.com ,News and Media > Newspapers,8,00:03:04,2.04,70.99%
26, vg.no website analytics vg.no ,News and Media > Newspapers,-1,00:14:24,4.11,38.76%
27, ltn.com.tw website analytics ltn.com.tw ,News and Media > Newspapers,-3,00:02:29,2.75,47.22%
28, 20minutes.fr website analytics 20minutes.fr ,News and Media > Newspapers,3,00:05:14,3.22,57.47%
29, kp.ru website analytics kp.ru ,News and Media > Newspapers,-1,00:02:21,3.02,50.53%
30, sfgate.com website analytics sfgate.com ,News and Media > Newspapers,5,00:04:34,3.6,64.41%
31, nydailynews.com website analytics nydailynews.com ,News and Media > Newspapers,7,00:04:38,2.91,62.99%
32, aftonbladet.se website analytics aftonbladet.se ,News and Media > Newspapers,2,00:04:45,3.23,42.90%
33, index.hu website analytics index.hu ,News and Media > Newspapers,-3,00:06:03,3.83,32.59%
34, telegraaf.nl website analytics telegraaf.nl ,News and Media > Newspapers,3,00:11:16,4.25,30.63%
35, gazeta.ru website analytics gazeta.ru ,News and Media > Newspapers,-8,00:07:24,3.49,55.46%
36, indianexpress.com website analytics indianexpress.com ,News and Media > Newspapers,-4,00:01:57,1.99,67.64%
37, thehill.com website analytics thehill.com ,News and Media > Newspapers,-1,00:03:40,1.95,68.32%
38, thairath.co.th website analytics thairath.co.th ,News and Media > Newspapers,5,00:02:53,2.35,60.79%
39, yomiuri.co.jp website analytics yomiuri.co.jp ,News and Media > Newspapers,new,00:02:39,2.97,39.02%
40, sankei.com website analytics sankei.com ,News and Media > Newspapers,5,00:02:47,3.1,46.24%
41, news18.com website analytics news18.com ,News and Media > Newspapers,new,00:02:56,2.33,60.56%
42, wyborcza.pl website analytics wyborcza.pl ,News and Media > Newspapers,2,00:03:17,3.33,38.96%
43, smh.com.au website analytics smh.com.au ,News and Media > Newspapers,-1,00:10:28,4.6,56.49%
44, zeit.de website analytics zeit.de ,News and Media > Newspapers,5,00:03:54,2.55,55.00%
45, iltalehti.fi website analytics iltalehti.fi ,News and Media > Newspapers,-4,00:06:05,3.9,30.97%
46, kknews.cc website analytics kknews.cc ,News and Media > Newspapers,new,00:02:23,2.03,63.19%
47, ekstrabladet.dk website analytics ekstrabladet.dk ,News and Media > Newspapers,-8,00:06:35,4.43,24.93%
48, gazetevatan.com website analytics gazetevatan.com ,News and Media > Newspapers,2,00:06:02,9.24,43.30%
49, firstpost.com website analytics firstpost.com ,News and Media > Newspapers,-9,00:04:08,2.8,58.69%
50, estadao.com.br website analytics estadao.com.br ,News and Media > Newspapers,1,00:06:52,3.46,58.52%
