 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, netdna-ssl.com website analytics netdna-ssl.com ,Science > Biology,1,00:00:56,1.51,75.80%
2, netdna-cdn.com website analytics netdna-cdn.com ,Science > Biology,1,00:00:45,1.39,77.58%
3, genepi.org website analytics genepi.org ,Science > Biology,-2,00:06:34,4.79,47.69%
4, iusacell3g.com website analytics iusacell3g.com ,Science > Biology,2,,,
5, pnas.org website analytics pnas.org ,Science > Biology,-1,00:01:41,2.19,41.08%
6, cell.com website analytics cell.com ,Science > Biology,-1,00:02:30,3.06,37.79%
7, todabiologia.com website analytics todabiologia.com ,Science > Biology,=,00:02:17,1.58,73.93%
8, ebi.ac.uk website analytics ebi.ac.uk ,Science > Biology,=,00:04:00,4.13,58.43%
9, asm.org website analytics asm.org ,Science > Biology,=,00:02:20,1.97,60.28%
10, genscript.com website analytics genscript.com ,Science > Biology,73,00:02:10,10.22,66.27%
11, professor.bio.br website analytics professor.bio.br ,Science > Biology,6,00:02:36,1.68,67.85%
12, rcsb.org website analytics rcsb.org ,Science > Biology,2,00:03:51,4.16,50.96%
13, dxy.com website analytics dxy.com ,Science > Biology,2,00:00:35,1.66,79.19%
14, physiology.org website analytics physiology.org ,Science > Biology,11,00:01:54,2.8,39.34%
15, 5858.com website analytics 5858.com ,Science > Biology,-2,00:00:53,1.57,71.79%
16, neb.com website analytics neb.com ,Science > Biology,3,00:03:35,3.06,56.18%
17, auladeanatomia.com website analytics auladeanatomia.com ,Science > Biology,10,00:04:01,2.05,64.74%
18, royalsocietypublishing.org website analytics royalsocietypublishing.org ,Science > Biology,3,00:01:57,1.89,60.86%
19, cshlp.org website analytics cshlp.org ,Science > Biology,19,00:01:03,2.38,40.43%
20, insectidentification.org website analytics insectidentification.org ,Science > Biology,-10,00:03:10,4.78,47.91%
21, biorxiv.org website analytics biorxiv.org ,Science > Biology,7,00:02:05,2.31,52.17%
22, waploaded.com website analytics waploaded.com ,Science > Biology,1,00:01:51,2.22,64.97%
23, lonerwolf.com website analytics lonerwolf.com ,Science > Biology,-12,00:01:51,1.57,75.57%
24, expasy.org website analytics expasy.org ,Science > Biology,20,00:04:38,3.9,47.32%
25, broadinstitute.org website analytics broadinstitute.org ,Science > Biology,-3,00:06:47,4.94,42.17%
26, bioone.org website analytics bioone.org ,Science > Biology,4,00:01:51,2.74,35.20%
27, addgene.org website analytics addgene.org ,Science > Biology,-7,00:03:46,3.56,48.16%
28, nana-bio.com website analytics nana-bio.com ,Science > Biology,22,00:10:15,4.97,42.58%
29, genecards.org website analytics genecards.org ,Science > Biology,-13,00:02:55,2.63,67.86%
30, biologie-schule.de website analytics biologie-schule.de ,Science > Biology,24,00:03:07,1.67,70.26%
31, biologists.org website analytics biologists.org ,Science > Biology,=,00:01:53,1.92,58.63%
32, mtnirancell.ir website analytics mtnirancell.ir ,Science > Biology,5,00:02:41,2.15,43.04%
33, omim.org website analytics omim.org ,Science > Biology,31,00:02:48,2.87,64.44%
34, sanger.ac.uk website analytics sanger.ac.uk ,Science > Biology,12,00:17:42,16.31,56.63%
35, tmcell.tm website analytics tmcell.tm ,Science > Biology,-17,00:02:14,2.84,72.59%
36, ensembl.org website analytics ensembl.org ,Science > Biology,-3,00:07:35,7.09,28.98%
37, tokyo-zoo.net website analytics tokyo-zoo.net ,Science > Biology,-13,00:02:49,3.17,40.15%
38, genexies.net website analytics genexies.net ,Science > Biology,7,00:00:38,1.28,85.18%
39, genome.gov website analytics genome.gov ,Science > Biology,-3,00:01:14,2.05,52.53%
40, biology-pages.info website analytics biology-pages.info ,Science > Biology,21,00:01:00,1.31,81.78%
41, genome.jp website analytics genome.jp ,Science > Biology,-2,00:05:15,5.36,46.69%
42, nehircell.com.tr website analytics nehircell.com.tr ,Science > Biology,-16,,,
43, popco.net website analytics popco.net ,Science > Biology,-8,00:04:10,4.29,42.45%
44, jax.org website analytics jax.org ,Science > Biology,-3,00:03:25,3.2,56.00%
45, zoocdn.com website analytics zoocdn.com ,Science > Biology,-3,00:02:07,1.53,70.56%
46, pebblego.com website analytics pebblego.com ,Science > Biology,new,00:05:05,7.66,29.15%
47, embl.de website analytics embl.de ,Science > Biology,-7,00:05:36,5.1,42.73%
48, sbio.info website analytics sbio.info ,Science > Biology,new,00:01:56,1.27,81.05%
49, atcc.org website analytics atcc.org ,Science > Biology,16,00:03:10,3.17,57.17%
50, emdmillipore.com website analytics emdmillipore.com ,Science > Biology,29,00:00:55,1.81,70.64%
