 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, baiducontent.com website analytics baiducontent.com ,Health,=,00:08:50,6.94,44.24%
2, nih.gov website analytics nih.gov ,Health,1,00:03:53,4.07,57.82%
3, 120ask.com website analytics 120ask.com ,Health,1,00:01:39,1.73,64.68%
4, healthline.com website analytics healthline.com ,Health,-2,00:03:23,10.68,28.69%
5, webmd.com website analytics webmd.com ,Health > Conditions and Diseases,=,00:01:52,2.19,64.63%
6, xywy.com website analytics xywy.com ,Health,=,00:01:35,1.71,65.50%
7, babycenter.com website analytics babycenter.com ,Health > Child Health,=,00:02:27,2.01,66.93%
8, xiangha.com website analytics xiangha.com ,Health,=,00:02:24,2.31,47.16%
9, haodf.com website analytics haodf.com ,Health,=,00:02:19,2.39,63.38%
10, drugs.com website analytics drugs.com ,Health > Pharmacy,=,00:01:48,2.36,68.73%
11, 39.net website analytics 39.net ,Health,=,00:01:04,1.91,72.45%
12, walgreens.com website analytics walgreens.com ,Health,=,00:04:01,4.68,42.35%
13, fh21.com.cn website analytics fh21.com.cn ,Health,2,00:02:01,5.6,48.70%
14, iherb.com website analytics iherb.com ,Health > Products and Shopping,2,00:06:59,8.77,30.79%
15, mayoclinic.org website analytics mayoclinic.org ,Health,4,00:01:34,2.11,69.18%
16, garmin.com website analytics garmin.com ,Health > Products and Shopping,-3,00:05:29,6.5,33.90%
17, cnkang.com website analytics cnkang.com ,Health,3,00:02:16,5.29,54.29%
18, cvs.com website analytics cvs.com ,Health > Pharmacy,-1,00:02:39,4.6,38.04%
19, medlineplus.gov website analytics medlineplus.gov ,Health,-1,00:01:37,1.41,77.02%
20, yaolan.com website analytics yaolan.com ,Health > Child Health,new,00:00:43,1.51,74.30%
21, elsevier.com website analytics elsevier.com ,Health,6,00:03:35,4.22,55.31%
22, medicinenet.com website analytics medicinenet.com ,Health > Education and Resources,-1,00:09:42,4.1,43.88%
23, tuasaude.com website analytics tuasaude.com ,Health,-1,00:02:04,1.8,69.14%
24, alodokter.com website analytics alodokter.com ,Health,2,00:02:00,1.68,70.55%
25, doctissimo.fr website analytics doctissimo.fr ,Health,=,00:02:24,2.13,69.27%
26, tunwalai.com website analytics tunwalai.com ,Health,-3,00:24:23,12.97,20.66%
27, fitbit.com website analytics fitbit.com ,Health > Products and Shopping,-3,00:03:33,3.83,41.13%
28, nhs.uk website analytics nhs.uk ,Health > Education and Resources,=,00:01:31,2.14,69.04%
29, medscape.com website analytics medscape.com ,Health > Medicine,=,00:03:20,3.5,41.16%
30, abczdrowie.pl website analytics abczdrowie.pl ,Health > Education and Resources,=,00:02:15,2.18,62.61%
31, bethesda.net website analytics bethesda.net ,Health,4,00:04:29,9.7,45.27%
32, cdc.gov website analytics cdc.gov ,Health,5,00:02:01,2.45,69.29%
33, kaiserpermanente.org website analytics kaiserpermanente.org ,Health,-2,00:04:58,6.36,24.19%
34, jianke.com website analytics jianke.com ,Health,-2,00:00:50,1.45,75.52%
35, psychologytoday.com website analytics psychologytoday.com ,Health > Mental Health,-2,00:01:48,1.98,72.37%
36, baby.ru website analytics baby.ru ,Health,new,00:02:03,2.04,65.62%
37, healthy.kaiserpermanente.org website analytics healthy.kaiserpermanente.org ,Health,1,00:05:28,7.09,20.23%
38, xyxy.net website analytics xyxy.net ,Health,2,00:00:49,1.51,73.44%
39, haowj.com.cn website analytics haowj.com.cn ,Health,new,00:03:58,21.3,18.49%
40, athenahealth.com website analytics athenahealth.com ,Health > Healthcare Industry,-6,00:08:47,12.29,25.18%
41, health.mail.ru website analytics health.mail.ru ,Health,-5,00:01:30,1.69,69.14%
42, everydayhealth.com website analytics everydayhealth.com ,Health,-3,00:01:06,2.34,71.75%
43, minhavida.com.br website analytics minhavida.com.br ,Health,-2,00:01:30,1.49,76.76%
44, redcross.org website analytics redcross.org ,Health > Public Health and Safety,new,00:03:24,3.57,46.95%
45, lifescript.com website analytics lifescript.com ,Health > Nutrition,4,00:03:16,4.06,48.18%
46, who.int website analytics who.int ,Health,4,00:02:35,2.67,64.54%
47, poradnikzdrowie.pl website analytics poradnikzdrowie.pl ,Health,-2,00:01:45,1.69,68.42%
48, activebeat.co website analytics activebeat.co ,Health > Education and Resources,-2,00:03:40,5.41,39.87%
49, familydoctor.com.cn website analytics familydoctor.com.cn ,Health,-7,00:00:34,1.69,64.28%
50, health.com website analytics health.com ,Health,1,00:02:06,6.27,45.10%
