 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, cnet.com website analytics cnet.com ,News and Media > Technology News,=,00:01:56,2.73,50.86%
2, zol.com.cn website analytics zol.com.cn ,News and Media > Technology News,=,00:03:01,4.55,45.45%
3, gsmarena.com website analytics gsmarena.com ,News and Media > Technology News,1,00:03:42,4.23,29.35%
4, ccm.net website analytics ccm.net ,News and Media > Technology News,-1,00:02:36,2.2,56.81%
5, pconline.com.cn website analytics pconline.com.cn ,News and Media > Technology News,=,00:01:15,1.96,65.19%
6, gizmodo.com website analytics gizmodo.com ,News and Media > Technology News,=,00:02:14,2.05,61.78%
7, 4pda.ru website analytics 4pda.ru ,News and Media > Technology News,=,00:06:09,4.23,40.75%
8, commentcamarche.net website analytics commentcamarche.net ,News and Media > Technology News,=,00:03:39,2.43,57.23%
9, engadget.com website analytics engadget.com ,News and Media > Technology News,5,00:02:18,2.22,65.75%
10, lifehacker.com website analytics lifehacker.com ,News and Media > Technology News,-1,00:01:47,1.91,60.76%
11, techradar.com website analytics techradar.com ,News and Media > Technology News,2,00:01:24,1.85,66.41%
12, computerbild.de website analytics computerbild.de ,News and Media > Technology News,=,00:03:21,6.59,47.32%
13, itmedia.co.jp website analytics itmedia.co.jp ,News and Media > Technology News,2,00:02:11,2.73,52.19%
14, android-1.com website analytics android-1.com ,News and Media > Technology News,new,00:03:48,4.36,34.31%
15, techtudo.com.br website analytics techtudo.com.br ,News and Media > Technology News,-4,00:01:28,1.58,69.52%
16, heise.de website analytics heise.de ,News and Media > Technology News,=,00:03:25,4.17,48.39%
17, 01net.com website analytics 01net.com ,News and Media > Technology News,2,00:08:17,3.9,48.44%
18, hi-tech.mail.ru website analytics hi-tech.mail.ru ,News and Media > Technology News,-1,00:01:57,3.44,62.95%
19, arstechnica.com website analytics arstechnica.com ,News and Media > Technology News,3,00:01:55,1.9,64.65%
20, techcrunch.com website analytics techcrunch.com ,News and Media > Technology News,4,00:01:53,1.75,73.03%
21, wired.com website analytics wired.com ,News and Media > Technology News,-3,00:04:43,2.16,74.79%
22, tweakers.net website analytics tweakers.net ,News and Media > Technology News,1,00:05:30,4.69,33.77%
23, digitaltrends.com website analytics digitaltrends.com ,News and Media > Technology News,-2,00:01:17,2.47,62.44%
24, dpreview.com website analytics dpreview.com ,News and Media > Technology News,-4,00:04:06,4.47,48.14%
25, tecmundo.com.br website analytics tecmundo.com.br ,News and Media > Technology News,1,00:03:09,2.03,54.10%
26, trashbox.ru website analytics trashbox.ru ,News and Media > Technology News,-1,00:02:23,2.21,64.90%
27, clubic.com website analytics clubic.com ,News and Media > Technology News,=,00:02:27,2.44,49.80%
28, chip.com.tr website analytics chip.com.tr ,News and Media > Technology News,=,00:07:43,16.42,50.32%
29, trustedreviews.com website analytics trustedreviews.com ,News and Media > Technology News,3,00:01:09,1.61,69.54%
30, pcworld.com website analytics pcworld.com ,News and Media > Technology News,-1,00:01:12,1.86,71.16%
31, xataka.com website analytics xataka.com ,News and Media > Technology News,7,00:01:48,1.78,65.44%
32, sammobile.com website analytics sammobile.com ,News and Media > Technology News,1,00:04:55,5.73,36.86%
33, zdnet.com website analytics zdnet.com ,News and Media > Technology News,18,00:01:15,2.01,67.25%
34, news.mydrivers.com website analytics news.mydrivers.com ,News and Media > Technology News,-3,00:04:11,3.55,53.99%
35, cnmo.com website analytics cnmo.com ,News and Media > Technology News,4,00:01:24,3.08,54.72%
36, genk.vn website analytics genk.vn ,News and Media > Technology News,14,00:03:37,2.96,43.39%
37, tech.ifeng.com website analytics tech.ifeng.com ,News and Media > Technology News,29,00:01:10,2.14,69.93%
38, bgr.com website analytics bgr.com ,News and Media > Technology News,-1,00:00:54,1.81,63.04%
39, news.ycombinator.com website analytics news.ycombinator.com ,News and Media > Technology News,2,00:05:02,2.55,47.28%
40, entrepreneur.com website analytics entrepreneur.com ,News and Media > Technology News,=,00:01:41,2,68.58%
41, ixbt.com website analytics ixbt.com ,News and Media > Technology News,11,00:02:53,2.13,56.90%
42, geektimes.ru website analytics geektimes.ru ,News and Media > Technology News,1,00:02:41,2.21,54.08%
43, tech.sina.com.cn website analytics tech.sina.com.cn ,News and Media > Technology News,10,00:01:42,2.23,68.98%
44, cool3c.com website analytics cool3c.com ,News and Media > Technology News,2,00:03:05,2.48,47.34%
45, 7230.com website analytics 7230.com ,News and Media > Technology News,-11,00:01:33,2.08,52.93%
46, computerbase.de website analytics computerbase.de ,News and Media > Technology News,1,00:02:50,2.32,58.88%
47, dji.com website analytics dji.com ,News and Media > Technology News,-2,00:03:39,3.63,39.43%
48, pcwelt.de website analytics pcwelt.de ,News and Media > Technology News,11,00:02:16,2.2,60.44%
49, teclast.com website analytics teclast.com ,News and Media > Technology News,7,00:02:18,1.7,70.61%
50, windowscentral.com website analytics windowscentral.com ,News and Media > Technology News,13,00:01:17,1.65,60.62%
